Timestamp,Price,Best,Worst
2019-06-26,11766,1,-1
2019-06-27,12933,-1,1
2019-06-28,11133,1,-1
2019-06-29,12374,-1,1
2019-06-30,11890,-1,1
2019-07-01,10738,-1,1
2019-07-02,10579,1,-1
2019-07-03,10805,1,-1
2019-07-04,11985,-1,1
2019-07-05,11160,-1,1
2019-07-06,10955,1,-1
2019-07-07,11232,1,-1
2019-07-08,11477,1,-1
2019-07-09,12313,1,-1
2019-07-10,12587,-1,1
2019-07-11,12100,-1,1
2019-07-12,11353,1,-1
2019-07-13,11804,-1,1
2019-07-14,11389,-1,1
2019-07-15,10187,1,-1
2019-07-16,10874,1,-1
2019-07-17,9398,1,-1
2019-07-18,9674,-1,1
2019-07-19,10639,-1,1
2019-07-20,10536,1,-1
2019-07-21,10765,-1,1
2019-07-22,10587,-1,1
2019-07-23,10324,1,-1
2019-07-24,9844,-1,1
2019-07-25,9772,1,-1
2019-07-26,9875,-1,1
2019-07-27,9849,-1,1
2019-07-28,9474,1,-1
2019-07-29,9530,-1,1
2019-07-30,9501,1,-1
2019-07-31,9589,-1,1
2019-08-01,10085,1,-1
2019-08-02,10407,1,-1
2019-08-03,10530,1,-1
2019-08-04,10815,1,-1
2019-08-05,10980,1,-1
2019-08-06,11788,-1,1
2019-08-07,11466,1,-1
2019-08-08,11961,1,-1
2019-08-09,11996,-1,1
2019-08-10,11857,-1,1
2019-08-11,11282,1,-1
2019-08-12,11567,-1,1
2019-08-13,11386,-1,1
2019-08-14,10858,-1,1
2019-08-15,10017,1,-1
2019-08-16,10302,1,-1
2019-08-17,10359,-1,1
2019-08-18,10215,1,-1
2019-08-19,10318,1,-1
2019-08-20,10917,-1,1
2019-08-21,10761,-1,1
2019-08-22,10129,-1,1
2019-08-23,10112,1,-1
2019-08-24,10406,-1,1
2019-08-25,10144,-1,1
2019-08-26,10135,1,-1
2019-08-27,10360,-1,1
2019-08-28,10172,1,-1
2019-08-29,9718,-1,1
2019-08-30,9485,1,-1
2019-08-31,9578,1,-1
2019-09-01,9601,1,-1
2019-09-02,9770,-1,1
2019-09-03,10387,1,-1
2019-09-04,10621,-1,1
2019-09-05,10584,-1,1
2019-09-06,10578,-1,1
2019-09-07,10317,1,-1
2019-09-08,10487,-1,1
2019-09-09,10406,-1,1
2019-09-10,10314,-1,1
2019-09-11,10101,1,-1
2019-09-12,10159,1,-1
2019-09-13,10420,-1,1
2019-09-14,10364,-1,1
2019-09-15,10361,-1,1
2019-09-16,10310,-1,1
2019-09-17,10266,-1,1
2019-09-18,10190,-1,1
2019-09-19,10158,1,-1
2019-09-20,10276,-1,1
2019-09-21,10173,1,-1
2019-09-22,9979,-1,1
2019-09-23,10033,1,-1
2019-09-24,9683,-1,1
2019-09-25,8554,-1,1
2019-09-26,8432,-1,1
2019-09-27,8056,1,-1
2019-09-28,8194,1,-1
2019-09-29,8225,-1,1
2019-09-30,8057,1,-1
2019-10-01,8308,1,-1
2019-10-02,8323,1,-1
2019-10-03,8382,-1,1
2019-10-04,8236,-1,1
2019-10-05,8155,-1,1
2019-10-06,8148,-1,1
2019-10-07,7870,1,-1
2019-10-08,8212,-1,1
2019-10-09,8190,1,-1
2019-10-10,8588,-1,1
2019-10-11,8587,-1,1
2019-10-12,8270,1,-1
2019-10-13,8308,-1,1
2019-10-14,8284,1,-1
2019-10-15,8354,-1,1
2019-10-16,8162,-1,1
2019-10-17,8003,1,-1
2019-10-18,8077,-1,1
2019-10-19,7954,1,-1
2019-10-20,7960,1,-1
2019-10-21,8231,-1,1
2019-10-22,8223,-1,1
2019-10-23,8027,-1,1
2019-10-24,7470,-1,1
2019-10-25,7432,1,-1
2019-10-26,8667,1,-1
2019-10-27,9260,1,-1
2019-10-28,9552,-1,1
2019-10-29,9219,1,-1
2019-10-30,9433,-1,1
2019-10-31,9165,-1,1
2019-11-01,9148,1,-1
2019-11-02,9253,1,-1
2019-11-03,9301,-1,1
2019-11-03,9206,1,-1
2019-11-04,9418,-1,1
2019-11-05,9310,1,-1
2019-11-06,9343,-1,1
2019-11-07,9204,-1,1
2019-11-08,8766,1,-1
2019-11-09,8809,1,-1
2019-11-10,9037,-1,1
2019-11-11,8718,1,-1
2019-11-12,8802,-1,1
2019-11-13,8762,-1,1
2019-11-14,8632,-1,1
2019-11-15,8458,1,-1
2019-11-16,8483,1,-1
2019-11-17,8504,-1,1
2019-11-18,8176,-1,1
2019-11-19,8121,-1,1
2019-11-20,8082,-1,1
2019-11-21,7617,-1,1
2019-11-22,7286,1,-1
2019-11-23,7324,-1,1
2019-11-24,6907,1,-1
2019-11-25,7130,1,-1
2019-11-26,7164,1,-1
2019-11-27,7524,-1,1
2019-11-28,7431,1,-1
2019-11-29,7757,-1,1
2019-11-30,7558,-1,1
2019-12-01,7403,-1,1
2019-12-02,7310,-1,1
2019-12-03,7297,-1,1
2019-12-04,7193,1,-1
2019-12-05,7396,1,-1
2019-12-06,7547,-1,1
2019-12-07,7505,1,-1
2019-12-08,7522,-1,1
2019-12-09,7337,-1,1
2019-12-10,7221,-1,1
2019-12-11,7202,-1,1
2019-12-12,7189,1,-1
2019-12-13,7252,-1,1
2019-12-14,7068,1,-1
2019-12-15,7111,-1,1
2019-12-16,6880,-1,1
2019-12-17,6612,1,-1
2019-12-18,7284,-1,1
2019-12-19,7151,1,-1
2019-12-20,7190,-1,1
2019-12-21,7143,1,-1
2019-12-22,7514,-1,1
2019-12-23,7322,-1,1
2019-12-24,7251,-1,1
2019-12-25,7193,1,-1
2019-12-26,7194,1,-1
2019-12-27,7244,1,-1
2019-12-28,7301,1,-1
2019-12-29,7385,-1,1
2019-12-30,7220,-1,1
2019-12-31,7168,1,-1
2020-01-01,7176,-1,1
2020-01-02,6944,1,-1
2020-01-03,7326,1,-1
2020-01-04,7348,1,-1
2020-01-05,7352,1,-1
2020-01-06,7759,1,-1
2020-01-07,8165,-1,1
2020-01-08,8043,-1,1
2020-01-09,7818,1,-1
2020-01-10,8185,-1,1
2020-01-11,8021,1,-1
2020-01-12,8174,-1,1
2020-01-13,8105,1,-1
2020-01-14,8842,-1,1
2020-01-15,8814,-1,1
2020-01-16,8722,1,-1
2020-01-17,8900,1,-1
2020-01-18,8911,-1,1
2020-01-19,8703,-1,1
2020-01-20,8626,1,-1
2020-01-21,8722,-1,1
2020-01-22,8659,-1,1
2020-01-23,8388,1,-1
2020-01-24,8428,-1,1
2020-01-25,8327,1,-1
2020-01-26,8588,1,-1
2020-01-27,8896,1,-1
2020-01-28,9386,-1,1
2020-01-29,9280,1,-1
2020-01-30,9502,-1,1
2020-01-31,9334,1,-1
2020-02-01,9378,-1,1
2020-02-02,9315,-1,1
2020-02-03,9285,-1,1
2020-02-04,9162,1,-1
2020-02-05,9615,1,-1
2020-02-06,9756,1,-1
2020-02-07,9808,1,-1
2020-02-08,9907,-1,1
2020-02-09,10162,1,-1
2020-02-10,9855,-1,1
2020-02-11,10275,1,-1
2020-02-12,10354,-1,1
2020-02-13,10242,1,-1
2020-02-14,10369,1,-1
2020-02-15,9904,1,-1
2020-02-16,9938,-1,1
2020-02-17,9704,-1,1
2020-02-18,10181,1,-1
2020-02-19,9605,1,-1
2020-02-20,9607,1,-1
2020-02-21,9697,-1,1
2020-02-22,9670,1,-1
2020-02-23,9989,-1,1
2020-02-24,9664,-1,1
2020-02-25,9309,-1,1
2020-02-26,8786,1,-1
2020-02-27,8805,-1,1
2020-02-28,8712,-1,1
2020-02-29,8531,1,-1
2020-03-01,8534,1,-1
2020-03-02,8913,-1,1
2020-03-03,8754,1,-1
2020-03-04,8759,1,-1
2020-03-05,9067,1,-1
2020-03-06,9156,-1,1
2020-03-07,8899,-1,1
2020-03-09,8039,-1,1
2020-03-10,7932,-1,1
2020-03-11,7885,1,-1
2020-03-12,7937,-1,1
2020-03-13,4830,1,-1
2020-03-14,5609,-1,1
2020-03-15,5166,1,-1
2020-03-16,5348,-1,1
2020-03-17,5026,1,-1
2020-03-18,5358,1,-1
2020-03-19,5410,1,-1
2020-03-20,6195,1,-1
2020-03-21,6226,-1,1
2020-03-22,6190,-1,1
2020-03-23,5823,1,-1
2020-03-24,6502,1,-1
2020-03-25,6768,-1,1
2020-03-26,6698,1,-1
2020-03-27,6764,-1,1
2020-03-28,6369,-1,1
2020-03-29,6261,-1,1
2020-03-30,5885,1,-1
2020-03-31,6405,1,-1
2020-04-01,6428,1,-1
2020-04-02,6653,1,-1
2020-04-03,6809,-1,1
2020-04-04,6742,1,-1
2020-04-05,6872,-1,1
2020-04-06,6777,1,-1
2020-04-07,7343,-1,1
2020-04-08,7206,1,-1
2020-04-09,7365,-1,1
2020-04-10,7294,-1,1
2020-04-11,6873,1,-1
2020-04-12,6892,1,-1
2020-04-13,6915,-1,1
2020-04-14,6858,1,-1
2020-04-15,6872,-1,1
2020-04-16,6624,1,-1
2020-04-17,7112,-1,1
2020-04-18,7035,1,-1
2020-04-19,7259,-1,1
2020-04-20,7130,-1,1
2020-04-21,6840,1,-1
2020-04-22,6853,1,-1
2020-04-23,7131,1,-1
2020-04-24,7478,1,-1
2020-04-25,7507,1,-1
2020-04-26,7550,1,-1
2020-04-27,7699,1,-1
2020-04-28,7791,-1,1
2020-04-29,7765,1,-1
2020-04-30,8778,-1,1
2020-05-01,8629,1,-1
2020-05-02,8825,1,-1
2020-05-03,8974,-1,1
2020-05-04,8904,-1,1
2020-05-05,8886,1,-1
2020-05-06,9031,1,-1
2020-05-07,9171,-1,1
2020-05-08,10002,1,-1
2020-05-09,9822,-1,1
2020-05-10,9527,-1,1
2020-05-11,8754,-1,1
2020-05-12,8617,1,-1
2020-05-13,8815,1,-1
2020-05-14,9306,1,-1
2020-05-15,9790,-1,1
2020-05-16,9304,1,-1
2020-05-17,9386,1,-1
2020-05-18,9669,1,-1
2020-05-19,9719,1,-1
2020-05-20,9786,-1,1
2020-05-21,9511,-1,1
2020-05-22,9058,1,-1
2020-05-23,9167,1,-1
2020-05-24,9178,-1,1
2020-05-25,8731,1,-1
2020-05-26,8900,-1,1
2020-05-27,8843,1,-1
2020-05-28,9198,1,-1
2020-05-29,9569,-1,1
2020-05-30,9426,1,-1
2020-05-31,9698,-1,1
2020-06-01,9451,-1,1
2020-06-02,10204,1,-1
2020-06-03,9526,1,-1
2020-06-04,9658,1,-1
2020-06-05,9795,-1,1
2020-06-06,9624,1,-1
2020-06-07,9670,1,-1
2020-06-08,9754,1,-1
2020-06-09,9783,-1,1
2020-06-10,9775,1,-1
2020-06-11,9892,-1,1
2020-06-12,9286,1,-1
2020-06-13,9460,1,-1
2020-06-14,9474,-1,1
2020-06-15,9330,1,-1
2020-06-16,9427,1,-1
2020-06-17,9526,-1,1
2020-06-18,9455,-1,1
2020-06-19,9380,-1,1
2020-06-20,9300,1,-1
2020-06-21,9357,-1,1
2020-06-22,9285,1,-1
2020-06-23,9692,-1,1
2020-06-24,9621,-1,1
2020-06-25,9277,-1,1
2020-06-26,9241,-1,1
2020-06-27,9154,-1,1
2020-06-28,9004,1,-1
2020-06-29,9127,1,-1
2020-06-30,9185,-1,1
2020-07-01,9134,1,-1
2020-07-02,9236,-1,1
2020-07-03,9088,-1,1
2020-07-04,9072,1,-1
2020-07-05,9131,-1,1
2020-07-06,9089,1,-1
2020-07-07,9349,-1,1
2020-07-08,9256,1,-1
2020-07-09,9440,-1,1
2020-07-10,9238,1,-1
2020-07-11,9287,-1,1
2020-07-12,9236,1,-1
2020-07-13,9296,-1,1
2020-07-14,9238,1,-1
2020-07-15,9255,-1,1
2020-07-16,9194,-1,1
2020-07-17,9131,1,-1
2020-07-18,9154,1,-1
2020-07-19,9175,1,-1
2020-07-20,9215,-1,1
2020-07-21,9164,1,-1
2020-07-22,9393,1,-1
2020-07-23,9537,1,-1
2020-07-24,9613,-1,1
2020-07-25,9551,1,-1
2020-07-26,9708,1,-1
2020-07-27,9939,-1,1
2020-07-28,11042,-1,1
2020-07-29,10935,1,-1
2020-07-30,11103,1,-1
2020-07-31,11115,1,-1
2020-08-01,11344,1,-1
2020-08-02,11824,-1,1
2020-08-03,11078,1,-1
2020-08-04,11243,-1,1
2020-08-05,11194,1,-1
2020-08-06,11750,1,-1
2020-08-07,11773,-1,1
2020-08-08,11606,1,-1
2020-08-09,11768,-1,1
2020-08-10,11684,1,-1
2020-08-11,11893,-1,1
2020-08-12,11392,1,-1
2020-08-13,11573,1,-1
2020-08-14,11777,-1,1
2020-08-15,11774,1,-1
2020-08-16,11874,1,-1
2020-08-17,11914,1,-1
2020-08-18,12294,-1,1
2020-08-19,11970,-1,1
2020-08-20,11734,1,-1
2020-08-21,11866,-1,1
2020-08-22,11523,1,-1
2020-08-23,11683,-1,1
2020-08-24,11653,1,-1
2020-08-25,11764,-1,1
2020-08-26,11337,1,-1
2020-08-27,11467,-1,1
2020-08-28,11302,1,-1
2020-08-29,11535,-1,1
2020-08-30,11482,1,-1
2020-08-31,11708,-1,1
2020-09-01,11660,1,-1
2020-09-02,11923,-1,1
2020-09-03,11397,-1,1
2020-09-04,10188,1,-1
2020-09-05,10468,-1,1
2020-09-06,10160,1,-1
2020-09-07,10255,1,-1
2020-09-08,10368,-1,1
2020-09-09,10122,1,-1
2020-09-10,10228,1,-1
2020-09-11,10353,1,-1
2020-09-12,10395,1,-1
2020-09-13,10446,-1,1
2020-09-14,10331,1,-1
2020-09-15,10675,1,-1
2020-09-16,10786,1,-1
2020-09-17,10948,-1,1
2020-09-18,10944,-1,1
2020-09-19,10932,1,-1
2020-09-20,11081,-1,1
2020-09-21,10920,-1,1
2020-09-22,10430,1,-1
2020-09-23,10532,-1,1
2020-09-24,10234,1,-1
2020-09-25,10732,-1,1
2020-09-26,10693,1,-1
2020-09-27,10732,1,-1
2020-09-28,10774,-1,1
2020-09-29,10692,1,-1
2020-09-30,10841,-1,1
2020-10-01,10778,-1,1
2020-10-02,10619,-1,1
2020-10-03,10575,-1,1
2020-10-04,10552,1,-1
2020-10-05,10673,1,-1
2020-10-06,10789,-1,1
2020-10-07,10604,1,-1
2020-10-08,10671,1,-1
2020-10-09,10923,1,-1
2020-10-10,11063,1,-1
2020-10-11,11303,1,-1
2020-10-12,11377,1,-1
2020-10-13,11540,-1,1
2020-10-14,11428,1,-1
2020-10-15,11431,1,-1
2020-10-16,11504,-1,1
2020-10-17,11328,1,-1
2020-10-18,11367,1,-1
2020-10-19,11508,1,-1
2020-10-20,11758,1,-1
2020-10-21,11925,1,-1
2020-10-22,12832,1,-1
2020-10-23,12990,-1,1
2020-10-24,12945,1,-1
2020-10-25,13128,-1,1
2020-10-26,13037,1,-1
2020-10-27,13076,1,-1
2020-10-28,13651,-1,1
2020-10-29,13289,1,-1
2020-10-30,13459,1,-1
2020-10-31,13565,1,-1
2020-11-01,13810,-1,1
2020-11-01,13759,-1,1
2020-11-02,13575,1,-1
2020-11-03,14023,1,-1
2020-11-04,14156,1,-1
2020-11-05,15591,1,-1
2020-11-06,15596,-1,1
2020-11-07,14840,1,-1
2020-11-08,15491,-1,1
2020-11-09,15329,-1,1
2020-11-10,15317,1,-1
2020-11-11,15709,1,-1
2020-11-12,16296,1,-1
2020-11-13,16339,-1,1
2020-11-14,16091,-1,1
2020-11-15,15968,1,-1
2020-11-16,16725,1,-1
2020-11-17,17680,1,-1
2020-11-18,17798,1,-1
2020-11-19,17821,1,-1
2020-11-20,18687,1,-1
2020-11-21,18700,-1,1
2020-11-22,18422,-1,1
2020-11-23,18399,1,-1
2020-11-24,19173,-1,1
2020-11-25,18740,-1,1
2020-11-26,17151,-1,1
2020-11-27,17139,1,-1
2020-11-28,17732,1,-1
2020-11-29,18192,1,-1
2020-11-30,19710,-1,1
2020-12-01,18793,1,-1
2020-12-02,19227,1,-1
2020-12-03,19455,-1,1
2020-12-04,18670,1,-1
2020-12-05,19155,1,-1
2020-12-06,19378,-1,1
2020-12-07,19181,-1,1
2020-12-08,18319,1,-1
2020-12-09,18554,-1,1
2020-12-10,18248,-1,1
2020-12-11,18029,1,-1
2020-12-12,18803,1,-1
2020-12-13,19164,1,-1
2020-12-14,19277,1,-1
2020-12-15,19440,1,-1
2020-12-16,21379,1,-1
2020-12-17,22847,1,-1
2020-12-18,23151,1,-1
2020-12-19,23870,-1,1
2020-12-20,23491,-1,1
2020-12-21,22745,1,-1
2020-12-22,23825,-1,1
2020-12-23,23253,1,-1
2020-12-24,23716,1,-1
2020-12-25,24694,1,-1
2020-12-26,26443,-1,1
2020-12-27,26247,1,-1
2020-12-28,27037,1,-1
