Date,Open
"Jun 20, 2022","$20,553.37"
"Jun 19, 2022","$19,010.90"
"Jun 18, 2022","$20,473.42"
"Jun 17, 2022","$20,385.72"
"Jun 16, 2022","$22,576.31"
"Jun 15, 2022","$22,196.73"
"Jun 14, 2022","$22,487.99"
"Jun 13, 2022","$26,737.58"
"Jun 12, 2022","$28,373.51"
"Jun 11, 2022","$29,084.67"
"Jun 10, 2022","$30,110.33"
"Jun 09, 2022","$30,215.28"
"Jun 08, 2022","$31,151.48"
"Jun 07, 2022","$31,371.74"
"Jun 06, 2022","$29,910.28"
"Jun 05, 2022","$29,835.12"
"Jun 04, 2022","$29,706.14"
"Jun 03, 2022","$30,467.81"
"Jun 02, 2022","$29,794.89"
"Jun 01, 2022","$31,792.55"
"May 31, 2022","$31,723.87"
"May 30, 2022","$29,443.37"
"May 29, 2022","$29,019.87"
"May 28, 2022","$28,842.10"
"May 27, 2022","$29,251.14"
"May 26, 2022","$29,564.78"
"May 25, 2022","$29,653.14"
"May 24, 2022","$29,101.13"
"May 23, 2022","$30,309.40"
"May 22, 2022","$29,432.47"
"May 21, 2022","$29,199.86"
"May 20, 2022","$30,311.12"
"May 19, 2022","$28,720.36"
"May 18, 2022","$30,424.48"
"May 17, 2022","$29,862.41"
"May 16, 2022","$31,304.37"
"May 15, 2022","$30,098.59"
"May 14, 2022","$29,285.64"
"May 13, 2022","$29,030.91"
"May 12, 2022","$28,936.73"
"May 11, 2022","$31,016.18"
"May 10, 2022","$30,273.65"
"May 09, 2022","$34,060.02"
"May 08, 2022","$35,502.94"
"May 07, 2022","$36,042.50"
"May 06, 2022","$36,573.18"
"May 05, 2022","$39,695.75"
"May 04, 2022","$37,748.01"
"May 03, 2022","$38,528.11"
"May 02, 2022","$38,472.19"
"May 01, 2022","$37,713.27"
"Apr 30, 2022","$38,605.86"
"Apr 29, 2022","$39,768.62"
"Apr 28, 2022","$39,241.43"
"Apr 27, 2022","$38,120.30"
"Apr 26, 2022","$40,448.42"
"Apr 25, 2022","$39,472.61"
"Apr 24, 2022","$39,478.37"
"Apr 23, 2022","$39,738.72"
"Apr 22, 2022","$40,525.86"
"Apr 21, 2022","$41,371.52"
"Apr 20, 2022","$41,501.74"
"Apr 19, 2022","$40,828.17"
"Apr 18, 2022","$39,721.20"
"Apr 17, 2022","$40,417.78"
"Apr 16, 2022","$40,552.32"
"Apr 15, 2022","$39,939.40"
"Apr 14, 2022","$41,160.22"
"Apr 13, 2022","$40,123.57"
"Apr 12, 2022","$39,533.71"
"Apr 11, 2022","$42,201.04"
"Apr 10, 2022","$42,781.09"
"Apr 09, 2022","$42,282.08"
"Apr 08, 2022","$43,505.14"
"Apr 07, 2022","$43,207.50"
"Apr 06, 2022","$45,544.36"
"Apr 05, 2022","$46,624.51"
"Apr 04, 2022","$46,445.27"
"Apr 03, 2022","$45,859.13"
"Apr 02, 2022","$46,285.50"
"Apr 01, 2022","$45,554.16"
"Mar 31, 2022","$47,062.15"
"Mar 30, 2022","$47,456.90"
"Mar 29, 2022","$47,100.44"
"Mar 28, 2022","$46,821.85"
"Mar 27, 2022","$44,505.36"
"Mar 26, 2022","$44,349.86"
"Mar 25, 2022","$43,964.55"
"Mar 24, 2022","$42,886.65"
"Mar 23, 2022","$42,364.38"
"Mar 22, 2022","$41,074.10"
"Mar 21, 2022","$41,246.13"
"Mar 20, 2022","$42,191.41"
"Mar 19, 2022","$41,794.65"
"Mar 18, 2022","$40,944.84"
"Mar 17, 2022","$41,140.84"
"Mar 16, 2022","$39,335.57"
"Mar 15, 2022","$39,664.25"
"Mar 14, 2022","$37,846.32"
"Mar 13, 2022","$38,884.72"
"Mar 12, 2022","$38,794.46"
"Mar 11, 2022","$39,439.97"
"Mar 10, 2022","$41,974.07"
"Mar 09, 2022","$38,742.82"
"Mar 08, 2022","$38,059.90"
"Mar 07, 2022","$38,429.30"
"Mar 06, 2022","$39,404.20"
"Mar 05, 2022","$39,148.45"
"Mar 04, 2022","$42,458.14"
"Mar 03, 2022","$43,925.20"
"Mar 02, 2022","$44,357.62"
"Mar 01, 2022","$43,194.50"
"Feb 28, 2022","$37,706.00"
"Feb 27, 2022","$39,098.70"
"Feb 26, 2022","$39,213.08"
"Feb 25, 2022","$38,333.75"
"Feb 24, 2022","$37,278.57"
"Feb 23, 2022","$38,285.28"
"Feb 22, 2022","$37,068.77"
"Feb 21, 2022","$38,423.21"
"Feb 20, 2022","$40,118.10"
"Feb 19, 2022","$40,026.02"
"Feb 18, 2022","$40,552.13"
"Feb 17, 2022","$43,937.07"
"Feb 16, 2022","$44,578.28"
"Feb 15, 2022","$42,586.46"
"Feb 14, 2022","$42,157.40"
"Feb 13, 2022","$42,236.57"
"Feb 12, 2022","$42,412.30"
"Feb 11, 2022","$43,571.13"
"Feb 10, 2022","$44,347.80"
"Feb 09, 2022","$44,096.70"
"Feb 08, 2022","$43,854.65"
"Feb 07, 2022","$42,406.78"
"Feb 06, 2022","$41,441.12"
"Feb 05, 2022","$41,501.48"
"Feb 04, 2022","$37,149.26"
"Feb 03, 2022","$36,944.81"
"Feb 02, 2022","$38,743.71"
"Feb 01, 2022","$38,481.77"
"Jan 31, 2022","$37,920.28"
"Jan 30, 2022","$38,151.92"
"Jan 29, 2022","$37,780.71"
"Jan 28, 2022","$37,128.44"
"Jan 27, 2022","$36,841.88"
"Jan 26, 2022","$36,950.51"
"Jan 25, 2022","$36,654.81"
"Jan 24, 2022","$36,275.73"
"Jan 23, 2022","$35,047.36"
"Jan 22, 2022","$36,471.59"
"Jan 21, 2022","$40,699.61"
"Jan 20, 2022","$41,744.03"
"Jan 19, 2022","$42,374.04"
"Jan 18, 2022","$42,250.07"
"Jan 17, 2022","$43,118.12"
"Jan 16, 2022","$43,172.04"
"Jan 15, 2022","$43,101.90"
"Jan 14, 2022","$42,598.87"
"Jan 13, 2022","$43,946.74"
"Jan 12, 2022","$42,742.18"
"Jan 11, 2022","$41,819.51"
"Jan 10, 2022","$41,910.23"
"Jan 09, 2022","$41,734.73"
"Jan 08, 2022","$41,561.47"
"Jan 07, 2022","$43,153.57"
"Jan 06, 2022","$43,565.51"
"Jan 05, 2022","$45,899.36"
"Jan 04, 2022","$46,458.85"
"Jan 03, 2022","$47,343.54"
"Jan 02, 2022","$47,680.93"
"Jan 01, 2022","$46,311.74"
"Dec 31, 2021","$47,169.37"
"Dec 30, 2021","$46,490.61"
"Dec 29, 2021","$47,623.87"
"Dec 28, 2021","$50,679.86"
"Dec 27, 2021","$50,802.61"
"Dec 26, 2021","$50,428.69"
"Dec 25, 2021","$50,854.92"
"Dec 24, 2021","$50,806.05"
"Dec 23, 2021","$48,626.34"
"Dec 22, 2021","$48,937.10"
"Dec 21, 2021","$46,886.08"
"Dec 20, 2021","$46,707.06"
"Dec 19, 2021","$46,853.87"
"Dec 18, 2021","$46,219.26"
"Dec 17, 2021","$47,653.73"
"Dec 16, 2021","$48,900.46"
"Dec 15, 2021","$48,379.75"
"Dec 14, 2021","$46,709.82"
"Dec 13, 2021","$50,114.74"
"Dec 12, 2021","$49,354.85"
"Dec 11, 2021","$47,264.63"
"Dec 10, 2021","$47,642.14"
"Dec 09, 2021","$50,450.08"
"Dec 08, 2021","$50,667.65"
"Dec 07, 2021","$50,581.83"
"Dec 06, 2021","$49,413.48"
"Dec 05, 2021","$49,201.52"
"Dec 04, 2021","$53,727.88"
"Dec 03, 2021","$56,509.17"
"Dec 02, 2021","$57,217.37"
"Dec 01, 2021","$56,907.97"
"Nov 30, 2021","$57,830.11"
"Nov 29, 2021","$57,291.90"
"Nov 28, 2021","$54,813.02"
"Nov 27, 2021","$53,736.43"
"Nov 26, 2021","$58,960.29"
"Nov 25, 2021","$57,165.42"
"Nov 24, 2021","$57,565.85"
"Nov 23, 2021","$56,304.56"
"Nov 22, 2021","$58,706.85"
"Nov 21, 2021","$59,730.51"
"Nov 20, 2021","$58,115.08"
"Nov 19, 2021","$56,896.13"
"Nov 18, 2021","$60,360.14"
"Nov 17, 2021","$60,139.62"
"Nov 16, 2021","$63,721.20"
"Nov 15, 2021","$65,521.29"
"Nov 14, 2021","$64,455.37"
"Nov 13, 2021","$64,158.12"
"Nov 12, 2021","$64,863.98"
"Nov 11, 2021","$64,978.89"
"Nov 10, 2021","$66,953.34"
"Nov 09, 2021","$67,549.74"
"Nov 08, 2021","$63,344.07"
"Nov 07, 2021","$61,554.92"
"Nov 06, 2021","$61,068.87"
"Nov 05, 2021","$61,460.08"
"Nov 04, 2021","$62,941.80"
"Nov 03, 2021","$63,254.33"
"Nov 02, 2021","$60,963.25"
"Nov 01, 2021","$61,320.45"
"Oct 31, 2021","$61,850.49"
"Oct 30, 2021","$62,239.36"
"Oct 29, 2021","$60,624.87"
"Oct 28, 2021","$58,470.73"
"Oct 27, 2021","$60,352.00"
"Oct 26, 2021","$63,032.76"
"Oct 25, 2021","$60,893.93"
"Oct 24, 2021","$61,368.34"
"Oct 23, 2021","$60,694.63"
"Oct 22, 2021","$62,237.89"
"Oct 21, 2021","$66,002.23"
"Oct 20, 2021","$64,284.59"
"Oct 19, 2021","$62,043.17"
"Oct 18, 2021","$61,548.80"
"Oct 17, 2021","$60,887.65"
"Oct 16, 2021","$61,609.53"
"Oct 15, 2021","$57,345.90"
"Oct 14, 2021","$57,372.83"
"Oct 13, 2021","$56,038.26"
"Oct 12, 2021","$57,526.83"
"Oct 11, 2021","$54,734.12"
"Oct 10, 2021","$54,952.82"
"Oct 09, 2021","$53,929.78"
"Oct 08, 2021","$53,802.15"
"Oct 07, 2021","$55,338.62"
"Oct 06, 2021","$51,486.67"
"Oct 05, 2021","$49,174.96"
"Oct 04, 2021","$48,208.91"
"Oct 03, 2021","$47,680.03"
"Oct 02, 2021","$48,137.47"
"Oct 01, 2021","$43,816.74"
"Sep 30, 2021","$41,551.27"
"Sep 29, 2021","$41,064.98"
"Sep 28, 2021","$42,200.90"
"Sep 27, 2021","$43,234.18"
"Sep 26, 2021","$42,721.63"
"Sep 25, 2021","$42,840.89"
"Sep 24, 2021","$44,894.30"
"Sep 23, 2021","$43,560.30"
"Sep 22, 2021","$40,677.95"
"Sep 21, 2021","$43,012.23"
"Sep 20, 2021","$47,261.41"
"Sep 19, 2021","$48,268.86"
"Sep 18, 2021","$47,273.53"
"Sep 17, 2021","$47,771.00"
"Sep 16, 2021","$48,158.91"
"Sep 15, 2021","$47,098.00"
"Sep 14, 2021","$44,960.05"
"Sep 13, 2021","$46,057.22"
"Sep 12, 2021","$45,206.63"
"Sep 11, 2021","$44,869.84"
"Sep 10, 2021","$46,396.66"
"Sep 09, 2021","$45,774.74"
"Sep 08, 2021","$46,827.76"
"Sep 07, 2021","$52,660.48"
"Sep 06, 2021","$51,769.00"
"Sep 05, 2021","$49,937.86"
"Sep 04, 2021","$50,009.33"
"Sep 03, 2021","$49,288.25"
"Sep 02, 2021","$48,807.85"
"Sep 01, 2021","$47,099.77"
"Aug 31, 2021","$47,024.34"
"Aug 30, 2021","$48,834.85"
"Aug 29, 2021","$48,911.25"
"Aug 28, 2021","$49,072.59"
"Aug 27, 2021","$46,894.56"
"Aug 26, 2021","$49,002.64"
"Aug 25, 2021","$47,727.26"
"Aug 24, 2021","$49,562.35"
"Aug 23, 2021","$49,291.68"
"Aug 22, 2021","$48,869.10"
"Aug 21, 2021","$49,327.07"
"Aug 20, 2021","$46,723.12"
"Aug 19, 2021","$44,741.88"
"Aug 18, 2021","$44,686.75"
"Aug 17, 2021","$45,936.46"
"Aug 16, 2021","$47,019.96"
"Aug 15, 2021","$47,096.67"
"Aug 14, 2021","$47,810.69"
"Aug 13, 2021","$44,439.69"
"Aug 12, 2021","$45,576.88"
"Aug 11, 2021","$45,599.70"
"Aug 10, 2021","$46,280.85"
"Aug 09, 2021","$43,791.93"
"Aug 08, 2021","$44,574.44"
"Aug 07, 2021","$42,832.80"
"Aug 06, 2021","$40,865.87"
"Aug 05, 2021","$39,744.51"
"Aug 04, 2021","$38,213.33"
"Aug 03, 2021","$39,178.40"
"Aug 02, 2021","$39,907.26"
"Aug 01, 2021","$41,460.84"
"Jul 31, 2021","$42,196.30"
"Jul 30, 2021","$40,027.48"
"Jul 29, 2021","$39,995.45"
"Jul 28, 2021","$39,503.19"
"Jul 27, 2021","$37,276.04"
"Jul 26, 2021","$35,384.03"
"Jul 25, 2021","$34,290.29"
"Jul 24, 2021","$33,593.73"
"Jul 23, 2021","$32,305.96"
"Jul 22, 2021","$32,138.87"
"Jul 21, 2021","$29,796.29"
"Jul 20, 2021","$30,838.29"
"Jul 19, 2021","$31,800.01"
"Jul 18, 2021","$31,533.88"
"Jul 17, 2021","$31,397.31"
"Jul 16, 2021","$31,841.55"
"Jul 15, 2021","$32,827.87"
"Jul 14, 2021","$32,723.85"
"Jul 13, 2021","$33,125.47"
"Jul 12, 2021","$34,254.02"
"Jul 11, 2021","$33,509.08"
"Jul 10, 2021","$33,811.24"
"Jul 09, 2021","$32,861.67"
"Jul 08, 2021","$33,889.61"
"Jul 07, 2021","$34,225.68"
"Jul 06, 2021","$33,723.51"
"Jul 05, 2021","$35,284.34"
"Jul 04, 2021","$34,665.56"
"Jul 03, 2021","$33,854.42"
"Jul 02, 2021","$33,549.60"
"Jul 01, 2021","$35,035.98"
"Jun 30, 2021","$35,908.39"
"Jun 29, 2021","$34,475.56"
"Jun 28, 2021","$34,679.12"
"Jun 27, 2021","$32,287.52"
"Jun 26, 2021","$31,594.66"
"Jun 25, 2021","$34,659.10"
"Jun 24, 2021","$33,682.80"
"Jun 23, 2021","$32,515.71"
"Jun 22, 2021","$31,622.38"
"Jun 21, 2021","$35,641.15"
"Jun 20, 2021","$35,563.14"
"Jun 19, 2021","$35,854.53"
"Jun 18, 2021","$38,099.48"
"Jun 17, 2021","$38,341.42"
"Jun 16, 2021","$40,168.69"
"Jun 15, 2021","$40,427.17"
"Jun 14, 2021","$39,016.97"
"Jun 13, 2021","$35,555.79"
"Jun 12, 2021","$37,340.14"
"Jun 11, 2021","$36,697.03"
"Jun 10, 2021","$37,389.52"
"Jun 09, 2021","$33,416.98"
"Jun 08, 2021","$33,589.52"
"Jun 07, 2021","$35,835.27"
"Jun 06, 2021","$35,538.61"
"Jun 05, 2021","$36,880.16"
"Jun 04, 2021","$39,242.49"
"Jun 03, 2021","$37,599.41"
"Jun 02, 2021","$36,699.92"
"Jun 01, 2021","$37,293.79"
"May 31, 2021","$35,658.59"
"May 30, 2021","$34,607.41"
"May 29, 2021","$35,684.16"
