,date,unix,retweetcount,text
0,2022-06-08,1654673415.0,259,"$20 || 960 PHP || 290.000 IDR

âœ… RT &amp; RT @crypto_pikachu1 ğŸ“Œ
 
ends soon"
1,2022-06-08,1654673414.0,1065,"ğŸš€ Airdrop: MetaBomb
ğŸ’° Value: 15 $BUSD
ğŸ‘¥ Referral: 25 $BUSD
ğŸ“’ Partnership: Coinlab, AceStarter
ğŸ“… End Date: 20th June, 2022
ğŸ¦ Distribution Date: 21st June, 2022

Go to the Airdrop Page
https://t.co/Ei5PAO4BN7

#Airdrop #Crypto #Airdrops #cryptocurrency #giveaway https://t.co/Uh8g3vsOst"
2,2022-06-08,1654673413.0,1153,"#Starcoin Brand Upgrade is Down! This almost perfectly aligns with our 1st 
#Anniversary celebration. It's not just a new identity, it's a repositioning of our vision, mission and values.
  
We look forward to bringing fresh experiences to you with this rebranding.

$STC #Crypto https://t.co/1oTkYLVjGw"
3,2022-06-08,1654673413.0,7539,"$CHO just listed on Uniswap and Raydium! âœ…
@ChoiseCom combines CeFi and #DeFi into one #MetaFi ecosystem.
5 years in Crypto! ğŸš€
Trade CHO on Uniswap and Raydium until 21st June and win up to 250,000 CHO tokens!

Buy CHOâ€”first MetaFi token ever!ğŸ”¥
ğŸ‘‰https://t.co/RPO6fRZtKo https://t.co/d3C4KblzgQ"
4,2022-06-08,1654673412.0,2162,"Airdrop is live!

Participate in our Airdrop and earn to 2 BUSD for doing tasks.

Airdrop link:
https://t.co/W4ibTdHctJ

Airdrop rewards will be distributed on June 30th and 1,500 lucky random participants will be rewarded. https://t.co/q7psK1rzL9"
5,2022-06-08,1654673412.0,259,"$20 || 960 PHP || 290.000 IDR

âœ… RT &amp; RT @crypto_pikachu1 ğŸ“Œ
 
ends soon"
6,2022-06-08,1654673412.0,7539,"$CHO just listed on Uniswap and Raydium! âœ…
@ChoiseCom combines CeFi and #DeFi into one #MetaFi ecosystem.
5 years in Crypto! ğŸš€
Trade CHO on Uniswap and Raydium until 21st June and win up to 250,000 CHO tokens!

Buy CHOâ€”first MetaFi token ever!ğŸ”¥
ğŸ‘‰https://t.co/RPO6fRZtKo https://t.co/d3C4KblzgQ"
7,2022-06-08,1654673411.0,114,"#Binance Learn &amp; Stake: Receive free crypto &amp; enjoy up to 100% APY in $SHIB Locked Staking by completing a course &amp; quiz! 

â¡ï¸ https://t.co/GKc5ANeV5n https://t.co/beOUaLzNoP"
8,2022-06-08,1654673411.0,358,"Did u saw this, @elonmusk?
Iâ€™m on the billboard in front of your office ğŸ˜¾ 

âš”ï¸ #SpartaCats is a new trend now, the era of dogs is over!

Get ready, the crypto world, SpartaCats is coming ğŸš€

#dogecoin #PURR #ElonMusk https://t.co/zThktAdy4X"
9,2022-06-08,1654673411.0,187,"The 6th Golden Opportunity in #Bitcoin history is now. 

This happens about every two years. 
#BTC #Crypto https://t.co/XsorHDaUXP"
10,2022-06-08,1654673410.0,727,Take me back to the sweet times pls https://t.co/83gR61eQFI
11,2022-06-08,1654673410.0,5179,"$100 || 24 hours 

â¡ï¸ RT &amp; Follow â€¢ @fabian_crypto + Rt and Like pin ğŸ“Œ"
12,2022-06-08,1654673409.0,144,"The #BTC Double top pattern played out | looking at volumes around 30.3k level as to whether we go up or down for the next trade, too risky to enter in this mid zone | The MACD crossover looks like we will see lower before we break the higher resistance. #crypto https://t.co/tKt5D97qmE"
13,2022-06-08,1654673408.0,259,"$20 || 960 PHP || 290.000 IDR

âœ… RT &amp; RT @crypto_pikachu1 ğŸ“Œ
 
ends soon"
14,2022-06-08,1654673407.0,6116,"ğŸš€ Airdrop: METFX
ğŸ’° Value: 816 $MFX
ğŸ‘¥ Referral: 4,080 $MFX
ğŸ“˜ IDO: TheGemPad, sphynxlabs
ğŸ“… End Date: 30th June 2022
ğŸ¦ Distribution Date: 4th July, 2022

Talk with the Telegram Bot
https://t.co/hUstld1n4L

#Airdrop #Crypto #Airdrops #giveaway #cryptocurrency https://t.co/deGhuyH6Cq"
15,2022-06-08,1654673406.0,15221,"This is Koi MetaverseğŸ ğŸ’¥

Each of them are unique.
Each gene is special.
You have the magic pictorial book to open.
You have the mining power to govern.

âœ…Like &amp; Retweet 

#P2E #Metaverse #Gem #Crypto #Koi #KoiMetaverse https://t.co/vAJQMDE0mG"
16,2022-06-08,1654673406.0,4081,"@Surfn_official â€” is an exclusive gameFi project, including learn-2-earn mechanics.ğŸ‘¾
Become a crypto professional ğŸ˜ and get ğŸ’¸ for that. 

Hop on our surfboard to join and be the first to know everything ğŸ¦¾
https://t.co/Bfykb2pwwv

#NFTshill #NFTGiveaway #WLGiveaways #NFTs https://t.co/uFcW7TZtIp"
17,2022-06-08,1654673405.0,114,"#Binance Learn &amp; Stake: Receive free crypto &amp; enjoy up to 100% APY in $SHIB Locked Staking by completing a course &amp; quiz! 

â¡ï¸ https://t.co/GKc5ANeV5n https://t.co/beOUaLzNoP"
18,2022-06-08,1654673405.0,181,"Next step of NFTs economy join us and fun together in newest NFTs largest digital marketplace from Australia. 

We are launching soon!Â    

#NFTs #NFTCommunity #NFT #NFTdrop #NFTProject #NFTCommunityCryptoArt #nftcollectors #NFTGiveaways #blockchain #crypto #cryptocurrency https://t.co/7UCPu9SM2x"
19,2022-06-08,1654673403.0,1065,"ğŸš€ Airdrop: MetaBomb
ğŸ’° Value: 15 $BUSD
ğŸ‘¥ Referral: 25 $BUSD
ğŸ“’ Partnership: Coinlab, AceStarter
ğŸ“… End Date: 20th June, 2022
ğŸ¦ Distribution Date: 21st June, 2022

Go to the Airdrop Page
https://t.co/Ei5PAO4BN7

#Airdrop #Crypto #Airdrops #cryptocurrency #giveaway https://t.co/Uh8g3vsOst"
20,2022-06-08,1654673402.0,5179,"$100 || 24 hours 

â¡ï¸ RT &amp; Follow â€¢ @fabian_crypto + Rt and Like pin ğŸ“Œ"
21,2022-06-08,1654673402.0,639,"ğŸ† Here we go!
 USDT Giveaway from Incoins

ğŸ‘‘ Prize : 15 winners x 75 #USDT

ğŸŸï¸To Enter : 
- Follow @indah_sari1318
- Like + RT
- Tag 3 Friends 

36 hours
#btc #incoins #crypto"
22,2022-06-08,1654673400.0,33607,"ğŸš¨ REVEAL IS HERE!ğŸš¨ 

Mint 1 Trolltown within 24 hours of reveal to get a fractionalized Mutant BAYC worth $32,00 ğŸ¤¯ğŸš€

TO GET IT:

â­ BUY 1 TROLL

â­ â¤ï¸ + RT + TAG + 3 FRIENDS+  FOLLOW

â­ Update your troll PFP profile

MINT NOW ğŸ‘‡ğŸ‘‡ğŸ‘‡
â¡ï¸ https://t.co/LAxd3vCj0J

#NFT #crypto https://t.co/5s5nEFnfXN"
23,2022-06-08,1654673400.0,1814,"ğŸ‰ @BabyDogeCoin @BabyDogeNFTs WEARABLE is Getting Closer &amp; CloserğŸš€

ğŸ‘‰$BABYDOGE - A new crypto birthed by fans of the doge meme community. Simply Love, pet, and hold as 5% from each transaction is automatically redistributed to baby doge holdersğŸ˜

#BNB #BSC #BAS #METAVERSE ğŸ”¥ https://t.co/HannWUZR5i"
24,2022-06-08,1654673400.0,675,"ğŸš¨#Giveaway ğŸš¨
100 USDC in 24 hours 1 Winner amoung posted proofs.

ğŸ¯ Follow @100trillionUSD &amp; @altcryptomars
ğŸ¯ Like and RT
ğŸ¯ Tag 3 friends

Write #MarSponsor in a comment 

#crypto #btc #eth #Fantom  #DeFi  #giveways #NFTGiveaway #NFT #bnb  https://t.co/5zSJgspbxs"
